Quelle est la vitesse de la lumière dans le vide ?;300 000 km/s;150 000 km/s;450 000 km/s;1 000 000 km/s;300 000 km/s
Quel est le langage de programmation principalement utilisé pour le développement d'Android ?;Java;Python;Swift;Ruby;Java
Quel protocole est utilisé pour sécuriser les échanges sur le web ?;HTTPS;FTP;HTTP;SMTP;HTTPS
Quelle est la fonction principale du DNS ?;Résoudre les noms de domaine;Transférer des fichiers;Chiffrer des données;Envoyer des emails;Résoudre les noms de domaine
Quel système de fichiers est utilisé par défaut sous Linux ?;ext4;NTFS;FAT32;HFS+;ext4
Que signifie l'acronyme IP ?;Internet Protocol;Internet Provider;Internal Process;Information Protocol;Internet Protocol
Quel est le créateur du langage Python ?;Guido van Rossum;Dennis Ritchie;James Gosling;Ken Thompson;Guido van Rossum
Quel port est utilisé par le protocole HTTPS ?;443;80;21;22;443
Quel est l’objectif principal de la virtualisation ?;Optimiser l'utilisation des ressources;Améliorer la vitesse réseau;Augmenter la sécurité des données;Envoyer des emails plus rapidement;Optimiser l'utilisation des ressources
Quel algorithme de tri est le plus rapide en moyenne ?;QuickSort;BubbleSort;InsertionSort;SelectionSort;QuickSort
Quel est le rôle principal du protocole SMTP ?;Envoyer des emails;Recevoir des emails;Transférer des fichiers;Sécuriser les données;Envoyer des emails
En quelle année le langage C a-t-il été créé ?;1972;1983;1969;1991;1972
Quel est l'équivalent d'un switch dans le modèle OSI ?;La couche 2 (liaison);La couche 1 (physique);La couche 3 (réseau);La couche 4 (transport);La couche 2 (liaison)
Quelle est la durée d'une adresse IPv4 ?;32 bits;64 bits;128 bits;16 bits;32 bits
Quel est le principal avantage des microservices ?;Modularité;Coût réduit;Optimisation CPU;Simplification du réseau;Modularité
Que signifie SaaS ?;Software as a Service;System as a Software;Security as a System;Storage and Service;Software as a Service
Quelle commande est utilisée pour afficher le contenu d'un fichier sous Linux ?;cat;ls;cp;mv;cat
Quel est le rôle principal de la mémoire RAM ?;Stocker temporairement les données actives;Stocker les fichiers sur le long terme;Exécuter les programmes;Gérer les adresses réseau;Stocker temporairement les données actives
En quelle année Internet a-t-il été créé ?;1969;1983;1991;2000;1969
Quelle est la principale caractéristique de TCP ?;Fiabilité;Vitesse;Sécurité;Multidiffusion;Fiabilité
Quel langage est principalement utilisé pour le développement iOS ?;Swift;Java;Python;Kotlin;Swift
Quel protocole est utilisé pour envoyer des emails ?;SMTP;POP3;IMAP;FTP;SMTP
Quelle est la taille d'une adresse MAC ?;48 bits;32 bits;64 bits;16 bits;48 bits
Quel est l'objectif du chiffrement AES ?;Sécuriser les données;Optimiser le réseau;Compiler le code;Sauvegarder les données;Sécuriser les données
Que signifie CRUD dans le contexte des bases de données ?;Create, Read, Update, Delete;Compile, Run, Update, Delete;Create, Remove, Update, Debug;Copy, Read, Update, Delete;Create, Read, Update, Delete
Quelle est la principale différence entre HTTP et HTTPS ?;HTTPS est sécurisé;HTTP est plus rapide;HTTPS est utilisé uniquement pour les emails;HTTP crypte les données;HTTPS est sécurisé
Quel est le rôle d'une adresse IP ?;Identifier un appareil sur le réseau;Sécuriser les données;Accélérer le transfert des fichiers;Gérer les connexions sans fil;Identifier un appareil sur le réseau
Quel langage est principalement utilisé pour les scripts web côté serveur ?;PHP;HTML;CSS;SQL;PHP
Que signifie l'acronyme JSON ?;JavaScript Object Notation;Java System Open Network;JavaScript Optimization Network;JavaScript Operation Node;JavaScript Object Notation
Quel est le rôle principal d'une API REST ?;Faciliter la communication entre applications;Gérer les bases de données;Créer des sites web;Crypter les données;Faciliter la communication entre applications
Quel protocole est utilisé pour transférer des fichiers ?;FTP;DNS;SMTP;IMAP;FTP
Quel est le format standard pour les documents sur le web ?;HTML;CSS;JSON;XML;HTML
Quelle commande Linux permet de copier des fichiers ?;cp;mv;ls;cat;cp
Quel est le rôle du modèle OSI ?;Standardiser la communication réseau;Optimiser les performances réseau;Accélérer la transmission des données;Crypter les connexions;Standardiser la communication réseau
Quel est l'objectif principal de Docker ?;Créer et gérer des conteneurs;Compiler des programmes;Analyser les logs;Chiffrer les données;Créer et gérer des conteneurs
Que signifie l'acronyme HTML ?;HyperText Markup Language;HyperText Machine Language;High Transfer Markup Language;High Transfer Machine Language;HyperText Markup Language
Quelle technologie est utilisée pour interroger une base de données ?;SQL;HTML;CSS;XML;SQL
Quel est le rôle d'un pare-feu ?;Filtrer le trafic réseau;Optimiser les performances réseau;Augmenter la vitesse de transfert;Assurer la redondance;Filtrer le trafic réseau
Que signifie DevOps ?;Development and Operations;Developer Optimization;Device Operations;Development Optimization;Development and Operations
